Transcript	GO.IDs
TR156575|c2_g2_i3	
TR156581|c0_g1_i2	GO:0006399;GO:0006412;GO:0006520;GO:0016874;GO:0043167
TR156596|c0_g1_i1	GO:0005509;GO:0016021
TR156693|c0_g1_i1	
TR156775|c0_g2_i1	
TR156817|c0_g2_i1	
TR156983|c0_g1_i1	
TR157037|c0_g1_i1	
TR157037|c0_g3_i1	
TR157080|c0_g1_i1	GO:0003674
TR157093|c0_g1_i4	GO:0005737;GO:0016874
TR157236|c0_g1_i1	
TR157278|c0_g1_i1	
TR157357|c0_g1_i1	
TR157441|c0_g1_i1	
TR157509|c0_g1_i1	
TR157598|c0_g1_i1	
TR157791|c0_g1_i1	GO:0006412
TR158228|c0_g1_i1	
TR158350|c0_g1_i3	
TR158358|c0_g1_i1	
TR158382|c0_g1_i1	
TR158382|c0_g3_i1	
TR158386|c1_g1_i1	
TR158507|c0_g1_i1	GO:0003824;GO:0005615
TR158521|c0_g1_i1	
TR158521|c1_g1_i1	
TR158538|c0_g1_i1	
TR158561|c0_g1_i2	
TR158851|c0_g1_i1	
TR158894|c1_g1_i1	
TR158930|c0_g1_i1	
TR158939|c0_g1_i2	
TR158941|c1_g1_i2	
TR158978|c1_g1_i1	
TR159035|c0_g1_i1	
TR159102|c0_g1_i1	
TR159148|c1_g1_i1	
TR159148|c1_g1_i2	
TR159185|c0_g1_i1	
TR159207|c0_g1_i1	
TR159248|c0_g1_i3	GO:0016020;GO:0016021
TR159263|c0_g1_i1	GO:0000166;GO:0005739;GO:0006400;GO:0052381
TR159263|c0_g1_i2	GO:0005524;GO:0005739;GO:0006400;GO:0052381
TR159263|c0_g1_i5	GO:0000166;GO:0005739;GO:0006400;GO:0052381
TR159314|c1_g1_i2	
TR159353|c0_g1_i1	
TR159369|c1_g1_i1	
TR159384|c1_g1_i6	
TR159384|c1_g1_i7	
TR159502|c0_g1_i2	
TR159678|c0_g1_i1	
TR159825|c0_g1_i1	GO:0016702;GO:0046872;GO:0055114
TR159949|c1_g1_i1	
TR160039|c1_g1_i1	
TR160340|c0_g1_i1	
TR160344|c0_g2_i1	
TR160538|c0_g1_i1	
TR160693|c0_g1_i3	
TR161034|c0_g1_i6	
TR161309|c0_g1_i1	GO:0003872;GO:0005488;GO:0006002;GO:0006096
TR161640|c0_g1_i2	GO:0016021;GO:0055085
TR161830|c0_g1_i1	
TR162181|c0_g1_i1	
TR162189|c0_g1_i1	
TR162190|c0_g1_i1	
TR162195|c3_g2_i1	
TR162205|c0_g2_i2	
TR162221|c0_g1_i1	
TR162248|c0_g1_i1	
TR162279|c0_g1_i1	
TR162519|c0_g3_i1	
TR162566|c0_g1_i1	
TR162628|c0_g1_i1	
TR162683|c0_g1_i1	
TR162695|c0_g1_i1	
TR162721|c0_g1_i1	
TR162885|c0_g1_i1	
TR162885|c0_g1_i2	
TR162936|c0_g1_i1	
TR163079|c0_g2_i1	
TR163079|c0_g2_i2	
TR163148|c0_g1_i1	
TR163246|c1_g1_i1	GO:0003700;GO:0005634;GO:0006355;GO:0008270
TR163324|c0_g1_i1	GO:0006396
TR163347|c0_g1_i1	GO:0005249;GO:0008076;GO:0034765;GO:0051260;GO:0071805
TR163408|c0_g1_i1	
TR163423|c0_g1_i1	GO:0006259;GO:0016021;GO:0022857;GO:0055085
TR163435|c0_g1_i1	
TR163435|c0_g1_i2	
TR163568|c0_g1_i1	
TR163669|c0_g1_i1	
TR163697|c0_g1_i2	
TR163697|c0_g1_i3	
TR163726|c0_g1_i1	
TR163763|c0_g1_i1	
TR163791|c0_g1_i1	
TR163791|c0_g3_i1	
TR163853|c0_g1_i1	
TR164042|c1_g2_i3	
TR164042|c1_g2_i4	
TR164072|c0_g1_i1	
TR164114|c4_g1_i1	
TR164179|c1_g1_i1	GO:0003674
TR164308|c0_g1_i1	
TR164793|c0_g1_i1	
TR164793|c0_g1_i2	
TR164875|c0_g1_i1	
TR165007|c0_g1_i1	GO:0008236;GO:0016020
TR165054|c0_g1_i1	
TR165095|c1_g1_i1	
TR165175|c0_g2_i1	GO:0005975;GO:0008810
TR165175|c0_g2_i2	GO:0005975;GO:0008810
TR165175|c0_g2_i3	GO:0005975;GO:0008810
TR165181|c0_g2_i1	
TR165201|c1_g1_i1	
TR165563|c0_g1_i1	
TR165563|c0_g2_i1	
TR165592|c0_g1_i1	GO:0003746;GO:0003924;GO:0005525;GO:0005737;GO:0006414
TR165852|c0_g1_i2	
TR166233|c0_g1_i1	
TR166282|c0_g1_i1	GO:0005216;GO:0006810
TR166345|c1_g1_i1	
TR166859|c0_g1_i1	
TR166891|c0_g1_i1	GO:0004181;GO:0008152;GO:0016020
TR166948|c0_g1_i1	
TR166967|c0_g1_i1	
TR167132|c0_g1_i1	
TR167261|c0_g1_i1	
TR167322|c0_g1_i1	
TR167322|c0_g2_i1	
TR167322|c0_g3_i1	
TR167326|c0_g2_i1	GO:0005581;GO:0007165
TR167326|c0_g2_i2	
TR167326|c0_g2_i6	GO:0005581;GO:0007165
TR167495|c0_g1_i2	GO:0000278;GO:0001649;GO:0003723;GO:0003725;GO:0005198;GO:0005819;GO:0005925;GO:0006886;GO:0030130;GO:0030132;GO:0031623;GO:0032051;GO:0033572;GO:0042147;GO:0043195;GO:0070062;GO:0071439;GO:1900126;GO:1903077
TR167772|c0_g1_i1	
TR167873|c0_g1_i1	
TR167959|c0_g1_i1	GO:0008324;GO:0016021;GO:0098655
TR167959|c0_g1_i3	GO:0005385;GO:0005794;GO:0010043;GO:0016021;GO:0032440;GO:0055114;GO:0061088;GO:0071577
TR168011|c0_g1_i2	
TR168028|c0_g1_i1	
TR168070|c0_g1_i1	
TR168153|c0_g1_i1	
TR168215|c0_g1_i1	
TR168278|c0_g1_i1	
TR168536|c0_g1_i1	
TR168540|c0_g1_i1	
TR168544|c0_g1_i1	
TR168602|c0_g1_i1	
TR168628|c1_g1_i1	
TR168628|c1_g1_i2	
TR168628|c1_g1_i3	
TR168643|c0_g2_i1	
TR168650|c0_g1_i1	
TR168807|c1_g1_i1	
TR168886|c2_g2_i1	GO:0005758;GO:0005759;GO:0005769;GO:0031083;GO:0048490;GO:1904115
TR168886|c2_g2_i2	GO:0005515;GO:0005615;GO:0005758;GO:0005759;GO:0005765;GO:0005769;GO:0009060;GO:0016197;GO:0018394;GO:0031083;GO:0031175;GO:0032438;GO:0048490;GO:0060155;GO:0070062;GO:0098779;GO:1904115
TR168956|c0_g1_i1	
TR168956|c0_g1_i2	
TR169038|c0_g1_i1	GO:0008168
TR169075|c0_g2_i1	
TR169322|c1_g1_i1	
TR169352|c0_g1_i1	
TR169371|c0_g1_i2	
TR169659|c0_g1_i1	
TR169675|c0_g1_i1	
TR169838|c0_g1_i1	
TR169886|c0_g1_i1	
TR170154|c0_g1_i1	GO:0005576;GO:0006950;GO:0031409;GO:0032502;GO:0043226;GO:0044444;GO:0048523
TR170215|c1_g1_i1	
TR170215|c1_g1_i2	
TR170255|c0_g1_i1	
TR170385|c0_g1_i2	
TR170434|c0_g1_i1	
TR170689|c0_g1_i1	
TR170708|c0_g1_i1	
TR170941|c0_g1_i1	
TR170963|c0_g1_i1	
TR171087|c0_g1_i1	
TR171222|c0_g1_i2	
TR171341|c0_g1_i2	GO:0005515;GO:0005634;GO:0009987;GO:0044446
TR171341|c0_g1_i3	GO:0005654;GO:0005680;GO:0005737;GO:0005813;GO:0005876;GO:0007091;GO:0019903;GO:0051301;GO:0070979
TR171345|c0_g1_i1	GO:0006464;GO:0016301;GO:0043167
TR171415|c0_g1_i1	
TR171421|c0_g1_i1	
TR171507|c0_g1_i1	
TR171510|c0_g1_i1	GO:0016491;GO:0055114
TR171540|c1_g2_i2	GO:0003674;GO:0005856;GO:0008150;GO:0032991
TR171726|c0_g1_i1	
TR171726|c0_g1_i3	
TR171732|c0_g1_i1	
TR171733|c0_g1_i1	
TR171745|c1_g1_i1	
TR171983|c0_g1_i1	
TR172281|c0_g1_i1	GO:0004602;GO:0006979;GO:0055114;GO:0098869
TR172281|c0_g2_i1	GO:0004602;GO:0006979;GO:0055114;GO:0098869
TR172302|c1_g1_i1	GO:0005737;GO:0006629;GO:0016491
TR172302|c1_g1_i4	GO:0005737;GO:0006629;GO:0016021;GO:0016627;GO:0055114
TR172506|c0_g1_i1	
TR172515|c2_g1_i1	
TR172515|c2_g1_i2	
TR172593|c1_g1_i1	
TR172877|c0_g2_i1	
TR172987|c0_g1_i1	
TR173073|c0_g1_i1	
TR173085|c0_g2_i1	
TR173122|c0_g1_i1	
TR173246|c1_g1_i1	GO:0003678;GO:0003868;GO:0004462;GO:0005524;GO:0006260;GO:0009072;GO:0032508;GO:0046872;GO:0055114
TR173270|c0_g1_i1	
TR173335|c0_g1_i3	
TR173966|c0_g1_i1	
TR174447|c0_g1_i1	
TR174528|c0_g1_i1	
TR174640|c0_g1_i2	
TR174657|c0_g1_i2	
TR174676|c0_g1_i1	
TR174676|c0_g1_i2	
TR174776|c0_g1_i2	
TR174790|c0_g1_i1	
TR174861|c0_g1_i1	GO:0003777;GO:0005524;GO:0007018;GO:0016887;GO:0030286
TR175015|c0_g1_i5	GO:0016020;GO:0016021
TR175346|c0_g1_i1	GO:0005840
TR175436|c0_g1_i1	
TR175461|c0_g1_i1	
TR175550|c0_g1_i1	
TR175674|c0_g2_i1	GO:0003924;GO:0005200;GO:0005525;GO:0005874;GO:0007017
TR175746|c2_g1_i1	
TR176081|c0_g1_i1	
TR176146|c2_g1_i1	
TR176221|c0_g1_i1	
TR176278|c0_g1_i1	
TR176280|c1_g1_i1	
TR176471|c0_g1_i1	
TR176471|c0_g1_i2	
TR176660|c0_g1_i1	
TR176670|c0_g1_i1	
TR176703|c2_g1_i1	
TR176703|c2_g2_i1	
TR176769|c0_g1_i1	
TR176852|c0_g1_i1	
TR177048|c0_g1_i2	GO:0005739;GO:0015031;GO:0046872
TR177124|c0_g1_i1	
TR177509|c0_g1_i1	
TR177645|c0_g1_i1	
TR177693|c0_g1_i1	
TR177722|c0_g1_i1	
TR177787|c0_g2_i1	
TR177859|c0_g3_i1	
TR177859|c0_g5_i1	
TR177859|c0_g6_i1	
TR177913|c2_g1_i3	
TR177932|c1_g1_i1	
TR178000|c0_g1_i1	
TR178307|c0_g1_i2	GO:0003677
TR178343|c0_g1_i1	
TR178355|c3_g2_i1	
TR178389|c0_g1_i1	
TR178443|c0_g1_i1	GO:0006890;GO:0030126
TR178443|c1_g1_i1	GO:0003723;GO:0005783;GO:0006890;GO:0008344;GO:0015031;GO:0021691;GO:0030126;GO:0043473
TR178501|c3_g1_i3	GO:0006464;GO:0009058;GO:0016757
TR178501|c3_g1_i5	GO:0001701;GO:0006049;GO:0006486;GO:0008375;GO:0016021;GO:0070062
TR178501|c3_g1_i7	GO:0001701;GO:0006049;GO:0006486;GO:0008375;GO:0016021;GO:0070062
TR178546|c0_g2_i1	GO:0016491;GO:0043167
TR178562|c0_g1_i1	GO:0004674;GO:0005524;GO:0006468
TR178597|c0_g1_i1	
TR178745|c0_g1_i1	
TR178886|c1_g1_i3	GO:0016020;GO:0016021;GO:0043709;GO:0043710
TR178956|c1_g1_i1	
TR179125|c0_g1_i2	
TR179185|c1_g1_i1	GO:0003676;GO:0008168;GO:0032259
TR179726|c0_g1_i3	
TR179732|c1_g1_i1	GO:0004435;GO:0005622;GO:0006629;GO:0007165;GO:0016020;GO:0016021;GO:0035556
TR179732|c1_g1_i3	GO:0004435;GO:0005622;GO:0006629;GO:0007165;GO:0016020;GO:0016021;GO:0035556
TR179732|c1_g1_i4	GO:0004435;GO:0005622;GO:0006629;GO:0007165;GO:0016020;GO:0016021;GO:0035556
TR179732|c1_g1_i5	GO:0016020;GO:0016021
TR179784|c0_g2_i1	
TR179957|c0_g1_i1	GO:0003674;GO:0065003
TR180060|c2_g1_i1	GO:0003674
TR180060|c2_g2_i2	GO:0003674
TR180171|c3_g1_i1	
TR180171|c3_g2_i1	
TR180353|c0_g1_i1	
TR180625|c0_g1_i1	GO:0004176;GO:0004252;GO:0005524;GO:0005759;GO:0006515;GO:0034599;GO:0043565;GO:0051131;GO:0070407;GO:0090296
TR180672|c0_g1_i1	
TR180853|c1_g1_i1	
TR180969|c1_g1_i1	
TR181051|c0_g2_i1	
TR181138|c1_g1_i1	
TR181223|c0_g1_i1	GO:0003723;GO:0003735;GO:0005730;GO:0005925;GO:0006412;GO:0022627;GO:0030154;GO:0031369;GO:0043066;GO:0070062
TR181587|c0_g1_i1	
TR181618|c0_g1_i1	
TR181675|c0_g1_i2	
TR181732|c0_g1_i1	GO:0004867;GO:0005576;GO:0007596;GO:0008201;GO:0010951
TR181799|c0_g1_i1	
TR181866|c0_g2_i1	
TR182009|c0_g1_i1	
TR182029|c0_g1_i1	
TR182082|c0_g1_i1	
TR182204|c0_g1_i1	
TR182389|c0_g1_i1	
TR182402|c0_g1_i1	
TR182518|c0_g1_i2	
TR182562|c0_g1_i1	
TR182797|c0_g3_i1	GO:0006633;GO:0016790
TR182813|c0_g1_i1	
TR182979|c0_g1_i1	
TR182979|c0_g1_i2	
TR183271|c0_g1_i1	
TR183525|c0_g1_i5	
TR183531|c0_g1_i1	
TR183591|c0_g1_i1	
TR183648|c0_g1_i1	GO:0000015;GO:0000287;GO:0004634;GO:0006096;GO:0016021
TR183678|c0_g1_i3	
TR183697|c0_g1_i2	
TR183697|c0_g1_i4	
TR183712|c0_g1_i1	
TR183720|c0_g1_i1	
TR183967|c0_g1_i1	
TR183967|c0_g1_i4	
TR183971|c1_g1_i1	
TR184087|c0_g1_i1	
TR184248|c0_g1_i2	
TR184473|c0_g1_i1	GO:0005643
TR184492|c0_g1_i1	
TR184492|c0_g2_i2	GO:0005739
TR184512|c0_g1_i1	GO:0005576;GO:0007218
TR184512|c1_g1_i1	GO:0005576;GO:0007218
TR184613|c0_g1_i1	
TR184702|c0_g1_i2	GO:0003774;GO:0003779;GO:0005524;GO:0016459
TR184741|c0_g1_i3	
TR184765|c0_g1_i2	
TR184784|c0_g1_i1	
TR184850|c0_g1_i1	
TR184899|c0_g1_i1	
TR184914|c0_g1_i1	
TR184955|c1_g1_i1	
TR184982|c0_g1_i1	
TR185018|c0_g1_i1	
TR185018|c1_g1_i1	
TR185047|c0_g1_i1	
TR185357|c0_g1_i5	GO:0003676
TR185383|c0_g2_i1	GO:0002181;GO:0003735;GO:0016020;GO:0022625
TR185383|c0_g2_i2	GO:0002181;GO:0003735;GO:0016020;GO:0022625
TR185460|c0_g1_i2	
TR185591|c0_g1_i1	
TR185632|c1_g1_i1	
TR185653|c0_g1_i1	GO:0003723;GO:0005634;GO:0008270
TR185716|c0_g1_i1	
TR185968|c0_g1_i2	
TR185978|c0_g1_i1	GO:0008152;GO:0016747
TR186092|c0_g1_i1	
TR186138|c0_g1_i1	GO:0005515;GO:0005737;GO:0006897
TR186231|c0_g1_i1	
TR186355|c0_g1_i1	
TR186392|c0_g2_i1	
TR186442|c0_g1_i1	
TR186442|c0_g1_i2	
TR186731|c2_g1_i1	
TR186731|c2_g1_i2	
TR186783|c0_g2_i1	
TR186809|c0_g2_i1	
TR186820|c0_g1_i1	
TR186836|c0_g1_i1	
TR187053|c0_g1_i2	
TR187086|c0_g2_i1	
TR187287|c0_g1_i2	
TR187544|c0_g1_i1	GO:0008233
TR187609|c0_g1_i4	GO:0004715;GO:0005515;GO:0005524;GO:0018108
TR187634|c0_g1_i1	
TR187654|c0_g2_i1	
TR187654|c0_g2_i5	
TR187660|c0_g1_i1	GO:0004129;GO:0005506;GO:0005739;GO:0009060;GO:0016021;GO:0020037
TR187665|c1_g1_i1	GO:0005840
TR187665|c1_g3_i1	GO:0005840
TR187665|c1_g4_i1	GO:0005840
TR187690|c0_g1_i1	
TR187720|c0_g2_i1	
TR187817|c1_g1_i1	GO:0005739;GO:0017148;GO:0043023;GO:0090071
TR187829|c0_g1_i1	
TR187880|c0_g1_i2	
TR187933|c0_g1_i1	
TR188065|c0_g1_i1	
TR188072|c0_g1_i1	
TR188072|c0_g2_i1	GO:0005581;GO:0007165
TR188130|c0_g1_i2	
TR188346|c0_g1_i1	GO:0016491
TR188391|c0_g1_i1	
TR188638|c0_g1_i1	
TR188746|c0_g1_i2	
TR188928|c0_g1_i1	
TR188928|c0_g1_i2	
TR188931|c1_g1_i1	
TR189004|c0_g1_i1	
TR189063|c0_g1_i1	GO:0003677;GO:0004519;GO:0006260;GO:0019028;GO:0046718;GO:0046872;GO:0090305
TR189269|c0_g2_i1	
TR189351|c0_g2_i1	GO:0003774;GO:0003779;GO:0005524;GO:0016459
TR189415|c0_g1_i1	GO:0004356;GO:0005524;GO:0006542
TR189447|c0_g1_i1	
TR189453|c0_g2_i1	
TR189546|c0_g1_i1	
TR189661|c0_g1_i2	
TR189947|c0_g1_i1	
TR189947|c0_g1_i2	
TR189967|c1_g1_i1	
TR189967|c1_g2_i1	
TR190020|c0_g1_i1	
TR190024|c1_g1_i1	
TR190090|c0_g1_i1	
TR190145|c0_g1_i1	
TR190161|c0_g1_i2	
TR190214|c0_g1_i1	
TR190331|c0_g1_i2	
TR190464|c0_g2_i1	
TR190578|c1_g1_i2	
TR190578|c1_g1_i3	
TR190578|c1_g1_i4	
TR190578|c1_g1_i5	
TR190594|c0_g1_i1	
TR190594|c0_g2_i2	
TR190645|c0_g1_i1	
TR190909|c0_g1_i1	
TR190982|c0_g1_i1	
TR190982|c0_g2_i1	
TR190988|c0_g1_i1	
TR191076|c0_g1_i1	
TR191080|c2_g1_i1	
TR191089|c1_g1_i3	GO:0000462;GO:0000479;GO:0003676
TR191262|c1_g2_i1	
TR191574|c0_g1_i1	
TR191616|c1_g1_i1	
TR191695|c0_g2_i1	GO:0016020
TR191962|c1_g1_i1	
TR191971|c0_g1_i1	
TR191986|c1_g1_i1	GO:0003777;GO:0005524;GO:0007018;GO:0016887;GO:0030286
TR192129|c1_g1_i2	
TR192227|c0_g1_i1	
TR192302|c1_g1_i1	
TR192596|c0_g1_i2	GO:0003779;GO:0008360;GO:0016477;GO:0017048;GO:0030036
TR193025|c0_g1_i1	
TR193138|c0_g1_i1	
TR193288|c0_g1_i1	
TR193296|c0_g1_i1	
TR193436|c1_g1_i1	
TR193444|c0_g1_i1	
TR193619|c0_g1_i1	
TR193685|c0_g1_i1	
TR193858|c0_g1_i1	
TR193883|c0_g2_i1	GO:0004129;GO:0005507;GO:0005743;GO:0016021;GO:0022900;GO:0070469;GO:1902600
TR193883|c0_g3_i1	GO:0008150;GO:0016020
TR193955|c1_g3_i1	
TR194064|c0_g1_i1	
TR194068|c0_g1_i1	
TR194089|c0_g1_i1	
TR194093|c1_g1_i3	
TR194182|c0_g1_i1	
TR194196|c0_g1_i1	
TR194264|c0_g1_i1	
TR194275|c2_g1_i3	
TR194299|c0_g1_i1	
TR194343|c1_g1_i1	
TR194456|c0_g1_i1	
TR194465|c0_g1_i1	
TR194499|c0_g1_i1	
TR194688|c0_g3_i3	
TR194721|c3_g1_i2	
TR194759|c0_g1_i1	
TR194858|c0_g1_i1	
TR194858|c0_g1_i2	
TR194863|c0_g1_i1	
TR194965|c0_g2_i1	
TR194967|c0_g1_i4	
TR194975|c0_g1_i1	
TR194975|c0_g4_i1	
TR195078|c0_g1_i1	GO:0005623;GO:0009055;GO:0015035;GO:0045454;GO:0055114
TR195272|c0_g1_i1	
TR195327|c0_g1_i1	
TR195366|c0_g1_i1	
TR195506|c0_g1_i2	
TR195516|c0_g2_i1	GO:0005515;GO:0005737;GO:0021795;GO:0021846;GO:0030177;GO:0051493
TR195541|c0_g1_i1	GO:0003674
TR195619|c0_g1_i1	
TR195623|c0_g1_i2	
TR195623|c0_g1_i3	
TR195828|c0_g1_i2	
TR195938|c1_g1_i2	
TR196032|c0_g1_i1	
TR196109|c1_g1_i1	
TR196189|c0_g1_i1	
TR196457|c0_g1_i1	
TR196573|c0_g1_i2	
TR196671|c0_g1_i1	
TR196687|c0_g1_i1	
TR196717|c0_g2_i1	
TR196752|c0_g1_i1	GO:0016020
TR196922|c0_g1_i1	
TR197047|c0_g2_i1	GO:0000453;GO:0000463;GO:0000466;GO:0005506;GO:0005730;GO:0008650;GO:0016435;GO:0016705;GO:0020037;GO:0030687;GO:0055114
TR197049|c0_g1_i2	GO:0003677;GO:0005654;GO:0032991
TR197065|c0_g1_i1	
TR197070|c8_g2_i1	
TR197338|c0_g1_i1	
TR197502|c0_g1_i2	
TR197544|c0_g1_i1	
TR197546|c0_g1_i2	
TR197559|c0_g1_i1	
TR197651|c0_g1_i1	
TR197831|c0_g1_i1	
TR197831|c0_g2_i1	
TR197832|c0_g1_i2	
TR197945|c0_g1_i1	
TR197945|c0_g1_i3	
TR198038|c0_g1_i1	
TR198112|c0_g1_i1	
TR198128|c1_g1_i4	
TR198172|c0_g1_i2	
TR198508|c0_g1_i1	
TR198588|c0_g1_i1	
TR198642|c0_g1_i1	
TR198696|c0_g1_i1	
TR198696|c0_g1_i3	
TR198700|c3_g2_i1	
TR198707|c0_g1_i1	
TR198883|c2_g1_i1	
TR198945|c0_g1_i1	
TR198983|c0_g1_i1	
TR199028|c0_g1_i1	GO:0003674;GO:0008150
TR199100|c0_g1_i1	
TR199130|c0_g1_i2	
TR199146|c0_g1_i1	
TR199355|c1_g1_i1	
TR199571|c1_g1_i1	
TR199574|c0_g1_i1	
TR199574|c0_g1_i2	
TR199630|c0_g1_i2	
TR199815|c0_g1_i1	
TR199922|c0_g1_i1	
TR200144|c0_g1_i1	
TR200144|c1_g1_i1	
TR200226|c0_g1_i1	
TR200269|c0_g1_i1	
TR200364|c0_g1_i2	
TR200364|c0_g1_i4	
TR200403|c0_g1_i1	
TR200422|c0_g1_i2	
TR200428|c1_g1_i2	
TR200428|c1_g1_i3	
TR200452|c0_g1_i1	
TR200609|c1_g1_i10	
TR200609|c1_g1_i11	
TR200609|c1_g1_i12	
TR201088|c0_g1_i1	
TR201242|c0_g2_i1	
TR201305|c0_g1_i1	
TR201389|c0_g1_i1	
TR201433|c0_g1_i1	
TR201655|c0_g2_i1	GO:0000166;GO:0003676
TR201676|c0_g1_i1	
TR201769|c0_g1_i2	
TR201792|c0_g1_i2	
TR201853|c0_g1_i1	
TR202232|c0_g1_i1	GO:0004722;GO:0006470;GO:0043169
TR202234|c0_g1_i1	
TR202342|c0_g1_i1	
TR202378|c3_g3_i2	GO:0003735;GO:0005840;GO:0006414
